Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
High-contrast interface (1e4),7,999,3856,3722,3722,1.0,7576,25734,0.0023555556070611215,0.002355555607061122,0.0031228084919889885,1.0,1.0,0.11090197900000476
Localized reaction-diffusion layer,1,0,86,54,5,0.09259259259259259,16,15,0.04660595003168275,0.04480913844671818,0.06167114710466667,0.9085166819383924,9.811980164934639,0.0005157949999556877
Localized reaction-diffusion layer,1,1,86,54,13,0.24074074074074073,37,71,0.044985950901292364,0.04480913844671818,0.06167114710466667,0.9911572585897228,4.117114766449618,0.0006159230000548632
Localized reaction-diffusion layer,1,2,86,54,23,0.42592592592592593,66,131,0.04485899632433606,0.04480913844671818,0.06167114710466667,0.9975100340509795,2.341980079945778,0.0008491690000482777
Localized reaction-diffusion layer,1,3,86,54,34,0.6296296296296297,91,198,0.04481867679970401,0.04480913844671818,0.06167114710466667,0.9995238566913146,1.587479066509735,0.0011504559998911645
Localized reaction-diffusion layer,1,999,86,54,54,1.0,138,324,0.044809138446718175,0.04480913844671818,0.06167114710466667,1.0,1.0,0.0016207339999709802
Localized reaction-diffusion layer,2,0,111,79,25,0.31645569620253167,74,91,0.030625511989715002,0.028451740178894746,0.044790594804740305,0.8926874661186887,2.820892392935056,0.000806947000000946
Localized reaction-diffusion layer,2,1,111,79,45,0.569620253164557,107,287,0.028474442143492273,0.028451740178894746,0.044790594804740305,0.998920079683655,1.7536596954446386,0.0014657130000159668
Localized reaction-diffusion layer,2,2,111,79,55,0.6962025316455697,132,347,0.02845302937882033,0.028451740178894746,0.044790594804740305,0.9999386965168836,1.4362755822697055,0.0017225650000227688
Localized reaction-diffusion layer,2,3,111,79,66,0.8354430379746836,156,416,0.028451979063906542,0.028451740178894746,0.044790594804740305,0.9999886408518202,1.1969561004135423,0.0019173339999269956
Localized reaction-diffusion layer,2,999,111,79,79,1.0,188,499,0.028451740178894746,0.028451740178894746,0.044790594804740305,1.0,1.0,0.002266771999984485
Localized reaction-diffusion layer,3,0,177,145,66,0.45517241379310347,199,244,0.020290583984129647,0.018797449217160207,0.028429836828494853,0.8717031815311016,1.9151054745759049,0.0017109070000742577
Localized reaction-diffusion layer,3,1,177,145,116,0.8,250,770,0.018797800776332453,0.018797449217160207,0.028429836828494853,0.9999709460977771,1.2499636826222214,0.0032296699999960765
Localized reaction-diffusion layer,3,2,177,145,127,0.8758620689655172,280,845,0.01879746406189254,0.018797449217160207,0.028429836828494853,0.999998773197877,1.1417308827849777,0.0038385230000130832
Localized reaction-diffusion layer,3,3,177,145,142,0.9793103448275862,314,938,0.01879744852201982,0.018797449217160207,0.028429836828494853,1.00000001,1.0211267707746479,0.0038515129999723285
Localized reaction-diffusion layer,3,999,177,145,145,1.0,320,955,0.018797449217160207,0.018797449217160207,0.028429836828494853,1.0,1.0,0.003880364999986341
